id_commande,date_commande,id_client,ville,categorie,nom_produit,prix_unitaire,quantite,remise,cout_livraison,methode_paiement,canal_marketing,cout_marketing,statut_commande,montant_brut,chiffre_affaires,taux_marge,marge_brute,profit_net,mois,indicateur_retour,nombre_commandes_par_client,valeur_vie_client
CMD100000,2025-12-11,C0379,Brazzaville,Mode,Produit_Mode_9,49.72,3,0.07,2.45,Mobile Money,Email,1.0,Livrée,149.16,138.7188,0.45,62.42346,58.973459999999996,2025-12,0,25,8087.951
CMD100001,2025-07-27,C1827,Libreville,Beauté,Produit_Beauté_3,37.18,2,0.1,6.89,Paiement à la livraison,Instagram Ads,8.04,Livrée,74.36,66.924,0.5,33.462,18.532000000000004,2025-07,0,4,562.8648000000001
CMD100004,2025-11-28,C0003,Libreville,Électronique,Produit_Électronique_45,498.71,2,0.02,5.16,Mobile Money,Email,0.55,Livrée,997.42,977.4716,0.15,146.62073999999998,140.91073999999998,2025-11,0,26,8575.1465
CMD100005,2025-10-17,C0079,Dakar,Maison,Produit_Maison_7,71.17,3,0.1,8.63,Virement,Instagram Ads,5.45,Livrée,213.51,192.159,0.3,57.64769999999999,43.56769999999999,2025-10,0,17,3639.7877
CMD100006,2025-07-24,C0183,Abidjan,Mode,Produit_Mode_3,23.04,3,0.1,3.59,Virement,Instagram Ads,9.23,Livrée,69.12,62.208000000000006,0.45,27.993600000000004,15.173600000000004,2025-07,0,16,3243.3665
CMD100007,2025-10-26,C0193,Lomé,Beauté,Produit_Beauté_41,26.08,3,0.14,2.51,Virement,Instagram Ads,6.16,Livrée,78.24,67.2864,0.5,33.6432,24.973200000000002,2025-10,0,21,5867.909900000001
CMD100008,2025-12-06,C0740,Abidjan,Mode,Produit_Mode_3,52.19,3,0.15,4.05,Carte,Email,1.77,Livrée,156.57,133.0845,0.45,59.888025,54.068025,2025-12,0,3,694.155
CMD100009,2025-12-17,C0148,Dakar,Électronique,Produit_Électronique_7,562.75,2,0.08,9.26,Mobile Money,Instagram Ads,5.31,Livrée,1125.5,1035.46,0.15,155.319,140.749,2025-12,0,19,3743.7206
CMD100010,2025-10-06,C0325,Abidjan,Électronique,Produit_Électronique_24,305.29,3,0.09,8.43,Mobile Money,Instagram Ads,14.3,Livrée,915.8700000000001,833.4417000000001,0.15,125.016255,102.286255,2025-10,0,15,3156.3948
CMD100011,2025-09-29,C0136,Cotonou,Électronique,Produit_Électronique_39,489.25,3,0.08,2.0,Carte,Instagram Ads,8.56,Livrée,1467.75,1350.3300000000002,0.15,202.54950000000002,191.98950000000002,2025-09,0,12,4025.1734
CMD100012,2025-12-10,C0373,Abidjan,Mode,Produit_Mode_25,41.91,2,0.08,7.62,Paiement à la livraison,Instagram Ads,8.38,Livrée,83.82,77.1144,0.45,34.701480000000004,18.701480000000004,2025-12,0,21,3863.3576000000003
CMD100013,2025-09-08,C1310,Brazzaville,Mode,Produit_Mode_44,21.26,2,0.23,5.29,Mobile Money,Google Ads,4.33,Livrée,42.52,32.7404,0.45,14.73318,5.113180000000002,2025-09,0,3,122.13419999999999
CMD100014,2025-09-22,C1589,Abidjan,Électronique,Produit_Électronique_21,572.02,1,0.1,7.83,Carte,Email,1.51,Retournée,572.02,514.818,0.15,77.22269999999999,67.88269999999999,2025-09,1,4,607.5171
CMD100015,2025-10-11,C0108,Dakar,Mode,Produit_Mode_14,55.99,2,0.25,8.87,Virement,Instagram Ads,12.98,Livrée,111.98,83.985,0.45,37.79325,15.943250000000003,2025-10,0,16,5010.4933
